@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute posx numeric
@attribute posy numeric
@attribute vel numeric
@attribute accel numeric
@attribute time numeric
@attribute signal numeric
@attribute accel_Max10 numeric
@attribute accel_stddev numeric
@attribute posx_stddev numeric
@attribute posy_stddev numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric

@data
286,'2018/04/04 19:36:36:437',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
287,'2018/04/04 19:36:36:641',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
288,'2018/04/04 19:36:36:845',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
289,'2018/04/04 19:36:37:049',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
290,'2018/04/04 19:36:37:252',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
291,'2018/04/04 19:36:37:453',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
292,'2018/04/04 19:36:37:656',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
293,'2018/04/04 19:36:37:858',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
294,'2018/04/04 19:36:38:061',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
295,'2018/04/04 19:36:38:261',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
296,'2018/04/04 19:36:38:465',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
297,'2018/04/04 19:36:38:668',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
298,'2018/04/04 19:36:38:871',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
