@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute iposx numeric
@attribute iposy numeric
@attribute ivel numeric
@attribute iaccel numeric
@attribute itime numeric
@attribute isignal numeric
@attribute icorners numeric
@attribute icornersx numeric
@attribute icornersy numeric
@attribute iaccel_Max10 numeric
@attribute iaccel_stddev numeric
@attribute iposx_stddev numeric
@attribute iposy_stddev numeric
@attribute posx numeric
@attribute posy numeric
@attribute vel numeric
@attribute accel numeric
@attribute time numeric
@attribute signal {0,1,2}
@attribute accelMax numeric
@attribute accel_stddev numeric
@attribute posx-stddev numeric
@attribute posy-stddev numeric
@attribute conductor_events {0,1,2,3,4,5,6,7,8,9,10}
@attribute conductor_time numeric
@attribute graphics_trigger numeric
@attribute color_trigger numeric
@attribute particle_maxspeed numeric
@attribute particle_maxforce numeric
@attribute mixgraphics {0,1,2,3,4,5}
@attribute corners {0,1,2,3,4,5}
@attribute cornersx numeric
@attribute cornersy numeric

@data
32,'2018/04/10 20:55:42:128',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
33,'2018/04/10 20:55:42:144',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
34,'2018/04/10 20:55:42:162',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
35,'2018/04/10 20:55:42:178',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
36,'2018/04/10 20:55:42:195',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
37,'2018/04/10 20:55:42:211',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
38,'2018/04/10 20:55:42:228',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
39,'2018/04/10 20:55:42:245',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
40,'2018/04/10 20:55:42:261',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
41,'2018/04/10 20:55:42:278',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
42,'2018/04/10 20:55:42:295',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
43,'2018/04/10 20:55:42:312',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
44,'2018/04/10 20:55:42:328',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
45,'2018/04/10 20:55:42:344',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
46,'2018/04/10 20:55:42:361',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
47,'2018/04/10 20:55:42:378',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
48,'2018/04/10 20:55:42:395',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
49,'2018/04/10 20:55:42:412',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
50,'2018/04/10 20:55:42:428',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
51,'2018/04/10 20:55:42:445',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
52,'2018/04/10 20:55:42:462',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
53,'2018/04/10 20:55:42:478',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
54,'2018/04/10 20:55:42:495',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
55,'2018/04/10 20:55:42:512',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
56,'2018/04/10 20:55:42:528',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
57,'2018/04/10 20:55:42:545',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
58,'2018/04/10 20:55:42:561',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
59,'2018/04/10 20:55:42:580',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
60,'2018/04/10 20:55:42:595',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
61,'2018/04/10 20:55:42:612',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
62,'2018/04/10 20:55:42:629',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
63,'2018/04/10 20:55:42:645',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
64,'2018/04/10 20:55:42:662',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
65,'2018/04/10 20:55:42:678',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
66,'2018/04/10 20:55:42:695',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
67,'2018/04/10 20:55:42:711',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
68,'2018/04/10 20:55:42:728',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
69,'2018/04/10 20:55:42:746',1,0,9,0,0,80,0,3,0,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
